X,Y
5.382624,-7.702728
4.550252,-8.859105
3.070571,1.667444
2.000537,8.904466
5.005291,-8.338878
5.166272,-7.709262
6.057703,-0.359167
3.334699,-3.684127
0.701885,6.157691
4.573714,-8.352431
2.991411,1.540160
5.131801,-9.511328
4.143885,-8.115466
3.272858,-3.493678
4.747688,-11.144015
5.280566,-9.816889
5.724301,-5.657626
2.739030,2.867066
3.606679,-3.505695
3.607726,-3.708342
1.385312,10.287881
5.957811,-0.386111
6.252424,-2.115878
3.994709,-8.621161
4.255158,-9.414378
4.703036,-9.166381
4.373706,-11.896034
4.686059,-9.247080
4.056516,-4.712501
2.880099,3.661317
1.645888,9.353602
3.833968,-5.110427
4.013088,-7.490846
5.842628,-4.794987
0.669405,6.138933
3.503323,-5.140433
0.223588,5.424114
5.591402,-6.563032
1.940136,12.226870
5.729565,-6.703353
0.625327,4.282401
5.595250,-4.013115
1.533935,6.139963
5.680145,-5.283557
4.816468,-11.728774
2.587810,7.453624
3.460103,-1.620553
4.869530,-10.635351
1.630090,8.820570
0.550749,6.393926
1.573086,10.155035
3.712288,-5.965910
3.710953,-5.382436
4.755182,-11.026990
6.040401,-2.038723
1.017296,6.671754
3.625140,-5.846716
5.397169,-4.361355
6.191238,0.086942
1.595503,8.787716
2.436362,5.600343
3.326200,-1.460459
4.570626,-12.232941
2.988337,1.123143
1.207402,11.657540
1.910079,5.273887
5.851770,-2.823815
4.585615,-11.148740
2.154937,9.079077
4.477389,-11.834043
2.292169,5.780349
2.608713,4.746012
2.722699,2.532572
3.368477,-0.767655
0.907572,7.199500
2.355430,7.431375
4.615684,-10.958168
1.822300,9.167398
1.461747,10.699694
1.947898,10.539369
4.634883,-11.421337
2.830756,2.689420
5.897951,-6.091876
5.103758,-12.050015
3.833783,-7.035964
4.280006,-10.061954
4.530232,-10.994020
4.170018,-7.996093
0.403777,5.494516
4.744654,-13.449527
4.318973,-8.234418
0.741958,4.661511
1.123025,8.520860
2.857237,4.383863
2.268892,6.926062
4.427104,-14.355704
5.299195,-9.212128
0.958183,6.816456
2.907047,3.477875
4.639196,-11.724089
0.707214,5.529154
6.174522,-3.186359
2.871193,3.671102
3.824537,-5.167746
3.840869,-6.824208
4.421738,-10.644296
0.685043,7.154270
1.818153,8.365586
3.083015,1.874697
5.842573,-3.413325
2.104354,9.441056
1.648729,9.477220
3.149133,0.938537
1.685272,9.215086
4.327949,-7.786841
0.297010,3.811379
2.833755,3.366426
1.407563,8.846328
2.187178,7.520030
3.806642,-4.645892
1.299439,9.433762
1.791107,10.052349
6.224900,-1.228326
0.982711,7.443793
0.541513,6.847259
4.754815,-11.257623
0.160953,2.907554
3.542788,-5.162258
2.236688,8.464392
2.514190,6.370201
1.256982,6.686850
0.344307,3.061816
4.550751,-10.223988
6.055358,-1.036172
2.736702,4.606106
5.366702,-7.330855
5.859531,-5.743808
3.460902,-2.119795
6.229113,0.634617
4.942157,-10.595212
3.959522,-8.135656
1.821160,10.477594
4.588122,-8.482460
2.681138,4.820181
5.288549,-9.018208
3.746846,-4.567182
2.686740,3.067861
2.632378,5.745576
0.860109,6.769241
5.006763,-10.932175
2.188085,8.452020
3.244231,0.270417
3.673010,-4.407595
3.658451,-3.763940
2.378091,8.335744
1.194272,11.026783
0.931825,6.632279
1.797769,9.583169
5.811881,-4.108139
2.740866,4.856521
5.173834,-10.039244
4.818646,-8.284048
3.399277,-4.583130
5.605998,-6.979695
0.862460,9.777231
4.708372,-9.591118
1.016911,7.895618
1.679156,10.792497
5.516690,-5.534321
1.520446,10.893576
0.396026,3.068483
2.944710,3.054594
1.043868,8.838658
5.489377,-7.428400
0.255205,5.093326
0.947453,8.849809
3.682724,-7.266137
0.902854,7.345225
1.915455,8.811756
3.298987,-0.918135
5.050584,-8.962180
1.895976,10.551674
1.159139,8.596877
5.927193,-4.755803
0.658512,4.949326
2.510230,5.890877
2.106117,10.137635
1.494062,9.529906
3.572234,-6.516436
0.024028,1.368106
1.835596,10.553196
2.775079,2.612827
4.150320,-8.711261
3.556800,-5.317911
2.487945,4.039789
2.952731,10.895038
3.242323,-4.496485
2.455629,-1.806836
5.242172,-7.676549
3.093385,-2.734991
5.140950,-11.923130
1.184380,9.739811
1.788939,2.892523
4.938584,-15.390979
4.318064,-12.204540
5.646560,-5.665684
1.149913,13.534927
6.163901,-2.384603
0.394121,2.796721
1.979960,6.458541
6.084429,-3.087857
4.663349,-14.250890
5.368710,-9.189517
3.258066,-1.911863
3.240769,-1.189785
5.254855,-19.603021
0.056247,-3.235206
3.190431,4.486546
1.146453,-2.659366
5.487644,-3.365813
1.766515,16.535077
5.899082,-0.796003
0.928219,15.393749
1.849924,0.011727
5.971977,-1.236831
0.710440,4.215284
1.272438,17.014643
3.321893,5.459687
1.310165,16.222687
1.789515,9.253112
0.759443,5.214709
0.866979,8.704907
0.615323,6.707504
5.864802,-16.702182
5.379136,-10.968053
2.867913,1.576212
2.808260,-0.895381
5.514063,-8.967567
3.392056,-6.666648
5.969551,-3.045097
2.662296,-0.327275
4.901822,-10.442216
0.619206,5.765507
3.128190,0.653889
1.254733,6.933932
3.881793,-14.914848
4.736201,-7.110333
4.833349,-12.470005
4.270051,-5.413360
3.378931,1.486641
4.266430,-8.903047
1.461754,14.428457
4.702889,-12.945935
0.258202,11.552905
4.622464,-9.888940
4.674892,-9.687332
0.429287,5.811474
4.460465,-6.055421
0.565070,7.626562
0.942830,12.237105
2.532553,0.087696
0.604801,7.492206
0.486948,9.786677
6.197806,1.402237
1.029128,8.589161
5.779874,-9.224313
4.069461,-7.297336
3.681154,-22.011892
2.000604,9.752314
1.845620,3.020428
1.493131,5.940757
2.228609,2.967493
3.245634,-4.700294
1.677369,12.851728
4.947236,-4.871583
5.834787,-1.761859
2.141978,3.449908
0.175201,-0.732102
1.375532,4.243186
3.158478,-3.932425
0.122489,-3.366601
3.353784,-0.509812
6.148188,3.324398
2.563993,-4.700170
6.205980,10.560847
0.706363,10.525732
4.774470,-0.874952
5.758737,-9.652786
6.150468,-1.622422
4.698369,-10.727401
3.302789,-0.715955
1.490054,2.405815
4.144791,-12.402727
3.378558,-2.879590
1.308206,12.515192
3.000395,1.180854
0.926586,6.977916
0.980637,11.793701
5.489338,-5.590482
4.582455,-13.823693
0.059677,-3.585953
0.381498,3.153031
4.340584,-8.800061
2.736614,4.161516
2.244474,9.203377
2.195711,13.392229
1.630452,19.747257
4.598353,-10.824623
5.388330,-9.935815
2.691610,8.390789
5.925542,14.381539
3.771055,-8.976273
1.849037,1.850472
4.579252,-9.181318
5.212335,-11.491427
5.199500,-20.658356
3.971019,-1.696941
1.830817,12.258632
5.828258,-9.804747
6.112266,10.073422
0.612135,5.527839
1.035859,4.706373
4.325311,-8.209867
0.140121,6.033488
0.182335,2.513020
4.248269,-6.494022
5.328682,-5.180489
2.047435,11.117939
5.681414,-6.177653
4.595790,-11.985099
4.172780,-13.270388
5.499920,-11.866095
5.043582,-3.853794
2.131345,11.407118
0.499669,2.600769
2.394371,1.021536
1.924219,21.232187
2.908153,9.610944
4.576848,-17.523739
5.054035,-16.458865
0.948816,18.032394
1.313779,3.519662
6.109728,3.367999
0.486170,0.139997
1.846210,12.183689
5.106679,-7.730740
1.480226,8.827335
3.338680,-0.525129
4.150415,-10.587577
0.685079,8.396984
1.071237,7.790478
5.656748,-7.603099
2.045940,11.479564
2.827569,-6.350326
2.539406,11.828780
2.466440,10.092487
0.409578,5.571985
0.806037,17.132005
5.042185,-15.628977
0.124353,0.922082
0.810438,5.580049
2.245971,9.725025
3.399650,-1.546897
4.693769,-14.622194
1.112535,7.810130
4.621657,-9.116301
2.132555,-0.117349
1.581153,7.746159
1.017498,6.337393
5.655216,-0.870490
3.973642,-6.366181
2.851651,8.178164
2.198509,17.023651
2.831727,4.218443
4.010323,4.544110
1.839058,13.125687
3.131249,3.951602
4.497447,-4.971504
1.542813,7.053210
5.052543,-10.485614
2.456589,6.819490
4.626958,-6.365218
3.645007,-10.456563
3.064102,3.372349
0.618103,10.475937
1.462223,14.958078
1.820921,23.301600
1.302980,8.794954
4.041112,-6.007973
2.419171,8.507922
6.097287,-1.680766
0.384467,-1.984489
1.148151,12.087320
6.246917,-4.881212
3.168714,-4.500732
5.616017,-9.503068
5.463716,-7.676616
0.927671,13.549198
2.805101,9.982915
1.560522,9.184477
3.548636,-0.301379
2.355402,5.185121
1.941135,11.536048
3.627203,-9.391198
2.824277,-4.909836
4.469600,-6.981623
5.235433,-9.412016
0.268869,6.458234
5.978745,6.995671
1.115140,3.305262
4.818986,-3.036179
2.382496,12.732096
3.926795,-5.146631
1.211249,12.249046
4.500070,-13.454113
0.461145,0.372583
1.273392,10.527492
3.667003,-5.871992
2.666110,2.547847
4.198979,-12.963972
3.269798,0.550630
2.409254,9.159448
0.765972,7.814856
5.077467,-10.469547
2.543245,5.428669
2.413831,9.730341
4.832766,-14.761423
4.447204,-11.585134
0.609706,4.419462
5.494095,-8.606545
1.594385,9.392397
4.618617,-20.344628
5.488393,-8.495982
4.476491,-19.242538
2.725869,3.580318
2.479275,4.762746
5.173469,-12.364948
1.535340,7.487384
6.228829,2.614551
3.072558,1.598607
1.653949,12.989579
1.222417,7.739082
0.428215,3.391623
4.805944,-6.531328
3.682425,-14.433550
2.535507,5.345122
1.289614,4.626473
5.556880,-10.876094
3.367308,-4.197394
5.666275,1.367819
6.185867,4.273137
0.923882,7.374882
1.548052,14.358996
2.581484,-8.630345
1.811681,15.475934
5.352655,-9.572464
0.653051,11.471647
3.886652,-12.234676
4.332692,-5.508063
6.137509,5.447081
2.628444,3.067617
3.403864,-4.238431
3.523866,2.963611
2.193422,20.683387
1.391762,4.575783
5.999205,5.919071
4.570061,-12.081034
0.761884,8.588324
1.163124,14.744047
3.030268,7.566121
5.068272,-11.712443
2.786175,-1.083730
1.226930,8.286496
4.582489,-5.074179
3.036632,-1.076750
3.510629,-5.852355
2.330928,10.958391
4.738999,-12.845141
2.390511,2.716107
5.149321,-2.018157
0.103225,1.242750
1.140948,14.970059
4.809383,-2.198142
4.710939,-6.381888
1.984861,12.313725
5.844212,-6.502975
4.035216,-15.576831
5.989563,-7.772894
1.085042,8.341495
2.324306,-1.749879
2.542398,20.167343
0.379312,10.960367
0.628561,10.412940
4.367697,-3.472318
